 Metabolite_name	RefMet_name	AF_1-1	AF_1-2	AF_1-3	AF_2-1	AF_2-2	AF_2-3	AF_3-1	AF_3-2	AF_3-3	AF_4-1	AF_4-2	AF_4-3	AF_5-1	AF_5-2	AF_5-3	AF_6-1	AF_6-2	AF_6-3	AF_7-1	AF_7-2	AF_7-3	AF_8-1	AF_8-2	AF_8-3	NoAF_1-1	NoAF_1-2	NoAF_1-3	NoAF_2-1	NoAF_2-2	NoAF_2-3	NoAF_3-1	NoAF_3-2	NoAF_3-3	NoAF_4-1	NoAF_4-2	NoAF_4-3	NoAF_5-1	NoAF_5-2	NoAF_5-3	NoAF_6-1	NoAF_6-2	NoAF_6-3	NoAF_7-1	NoAF_7-2	NoAF_7-3	NoAF_8-1	NoAF_8-2	NoAF_8-3
Factors	-	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media
1_5-Anhydro-glucitol-4TMS	1,5-Anhydrosorbitol																																																
2-Deoxy-glucose-meto-4TMS	2-Deoxy-glucose																																																
2^-Deoxyuridine-3TMS	Deoxyuridine	2424	6748	5483	1854	2011	2351	1621	2239	7815	5029	2103	3854	4434	4208	5207	1958	6545	5425	2346	7159	2726	3197	2875	6768	1231	2196	9072	8763	8246	1431	2354	2466	10149	2739	2999	9699	2080	2328	7622	2916	1662	2048	5527	2651	8653	1501	840	2172
2-Hydroxybutyric acid-2TMS	2-Hydroxybutyric acid			9901	5764		9143	12343	13852	13349	9799	11377	9357	11220	12098	11689	13512	11912	12727	12681	29099	18652	11849	16021	12210	8724		4229	4452	8406	8322	9220	9648	11312	16544	8288	19406	7834	9454	8037	9505	8111	10130	11290	10892	14961	12727	18593	14120
2-Hydroxybutyric acid-d3-2TMS																																																	
2-Hydroxyglutaric acid-3TMS	2-Hydroxyglutaric acid	18481	19100	26541	27346	29539	30415	25296	23270	23998	22170	33478	21735	24370	28817	25002	24650	27018	23183	21121	119824	25724	25139	25176	25734	29252	20311	22652	29422	25387	27599	23723	26739	25272	186192	37219	31147	27180	27065	24300	30426	32136	29500	27483	21818	23692	21608	32662	22476
2-Hydroxyhippuric acid-2TMS	Salicyluric acid																																																
2-Hydroxyhippuric acid-3TMS	Salicyluric acid																																																
2-Hydroxyisobutyric acid-2TMS	2-Hydroxyisobutyric acid								16250	17698				1592	12693		1231					21918				153				1172	1397				31483		18213		714								758		
2-Hydroxyisocaproic acid-2TMS	2-Hydroxyisocaproic acid																																																
2-Hydroxyisovaleric acid-2TMS	2-Hydroxy-3-methylbutyric acid																																																
2-Isopropylmalic acid-3TMS	2-Isopropylmalic acid	15863693	13849824	16335043	15590702	15544121	16127093	15790787	11881856	15256378	15499684	15031416	14048963	14229266	14195808	14322659	14544885	15763264	14899134	15230350	15624466	14806457	16395005	15753964	15681719	14943760	12866300	14967350	15007404	13462334	15408308	14736558	15143168	15520889	15153461	14883314	14416331	15062521	14150382	14392188	14654731	14948935	15530281	13349327	13163832	14893525	13943388	15365534	13841053
2-Ketoadipic acid-meto-2TMS(1)	2-Oxoadipic acid						709					2921	1773				489																															2001	
2-Ketoadipic acid-meto-2TMS(2)	2-Oxoadipic acid		15305	372		7117		474	796		1059		1746				708		14699	13610			985		697		1184	2296	16775			5858	578	2067	10445			3008			1402	7206	18881	10696		1713		702	
2-Ketoadipic acid-oxime-3TMS(1)																												765																					
2-Ketoadipic acid-oxime-3TMS(2)																																																	
2-Ketobutyric acid-meto-TMS(1)	3-Methyl pyruvic acid		3917	5518	8460	5587		9272	9312	12358	6280	7606	7080		11108	6574	8909	6988	7838	10650	15751	8695	10251	14803	8750			5659		3950	5613			8072	7063	10461	7123	5995	9579	9103			6005	6883	9257	11589	5969	12803	7363
2-Ketobutyric acid-meto-TMS(2)	3-Methyl pyruvic acid																																																
2-Ketoglutaric acid-3TMS	2-Oxoglutaric acid								2855	1719		1769																																					
2-Ketoglutaric acid-meto-2TMS	2-Oxoglutaric acid	14471	29832	8859	32707	42485	37151	10267	30317	19336	14049	31195	22771	19808	36284	33249	26382	32208	34458	21489	32377	7140	27766	32994	33421	47403	43569	36075	21130	47403	39619	33674	53819	48105		17684	22955	17731	45891	20355	6971	30683	41832		36052		20856		15436
2-Ketoglutaric acid-oxime-3TMS(1)																																																	
2-Ketoglutaric acid-oxime-3TMS(2)																																																	
2-Ketoisocaproic acid-meto-TMS(1)	Ketoleucine																																																
2-Ketoisocaproic acid-meto-TMS(2)	Ketoleucine	5949	5094		3028	5687	5477	5318	5350	6580	4597	3746	5462	4466	5510	6115	4345	1080	3808	4991	3472	5684	5785	5297	5204	8812	6010	6859	4804	6624	7065	4394	6954	6669	7068	5436	7956	6409	7463	6017		7990	6219		5904		5751		3955
2-Ketoisocaproic acid-oxime-2TMS																																																	
2-Keto-isovaleric acid-meto-TMS	Ketoisovaleric acid																														2812		5800																670
2-Keto-isovaleric acid-oxime-2TMS(1)																																																	
2-Keto-isovaleric acid-oxime-2TMS(2)																																																	
2-Methyl-3-hydroxybutyric acid-2TMS(1)	2-Methyl-3-hydroxybutyric acid																																																
2-Methyl-3-hydroxybutyric acid-2TMS(2)	2-Methyl-3-hydroxybutyric acid																																																
2-Methylhippuric acid-2TMS	2-Methylhippuric acid																																																
2-Methylhippuric acid-TMS	2-Methylhippuric acid																																																
2-Phosphoglyceric acid -4TMS	2-Phosphoglyceric acid				1035							1806	1913			1590						1503				1321		1628		2307	1645							1902			1930								
2-Propyl-3-hydroxy-pentanoic acid-2TMS(1)																																																	
2-Propyl-3-hydroxy-pentanoic acid-2TMS(2)																																																	
2-Propyl-5-hydroxy-pentanoic acid-2TMS																																																	
2-Propyl-glutaric acid-2TMS	2-Propylglutaric acid																																																
3_4-Dihydroxybenzylamine-4TMS	3,4-Dihydroxybenzylamine																																																
3-Aminoglutaric acid-2TMS	Isoglutamic acid	14926977	14931366	18919904	15903221	17799311	17794623	15098489	18657079	18471342	16834164	18867313	14652710	13815074	17808103	18491448	19759553	20106251	19315339	17685758	21444657	21261904	23244195	20494906	23135216	16891010	13655888	17073395	20368149	16505128	18493872	16925297	17510229	16903433	17266280	20457427	19332121	19100396	18379685	18266061	20962792	21370274	21663462	20804523	17046856	20664891	21647113	22276261	15743900
3-Aminoglutaric acid-3TMS	Isoglutamic acid	15725		18534	16701	14823	14918	16347	16761	17463	26799	27405	25151	24997	28031	27563	31345	31785	31564	26522	28903	30480	29111	32168	31454	16338	15069	16629	17305	13523	18644	16767	2011	19962	2568	21081	23095	5833	1204	24280	27277	31681	30135	4738	2696	27816	4387	2210	26579
3-Aminoisobutyric acid-2TMS	3-Aminoisobutanoic acid																																	815															
3-Aminoisobutyric acid-3TMS	3-Aminoisobutanoic acid																																																
3-Aminopropanoic acid-2TMS	beta-Alanine	22618	16665	20890	25266	24265	25240	26178	23742	22677	17263	21823	17219	16766	25654	20723	16832	20077	17054	13102	21854	26927	20957	25889	18286	32593	23795	28095	52122	28808	31173	28119	35026	35245	62108	57433	34838	23914	21272	25618	32548	31364	26280	19711	13763	27891	20339	22489	28218
3-Aminopropanoic acid-3TMS	beta-Alanine	374074	364962	474475	386012	435680	435570	378087	461257	415937	421798	487347	367734	367760	457611	470163	470913	490839	471008	393792	502511	482852	482911	469748	479397	459654	348303	405786	602532	410581	480573	490576	492019	402957	439811	570070	545280	505924	513499	424302	488565	534936	567033	462272	398501	463613	474502	566750	411938
3-Dehydroshikimic acid-meto-3TMS(1)	3-Dehydroshikimic acid																					908									963																		
3-Dehydroshikimic acid-meto-3TMS(2)	3-Dehydroshikimic acid					447																		858																									
3-Hydroxy-3-methylglutaric acid-3TMS	3-Hydroxymethylglutaric acid	4656	5243	6783	6356	7846	7395	5469	9063	8911	4516	8615	6172	4997	6850	8468	5481	5509	6645	5592	10306	9245	8106	8352	8145	6637	4530	9017	6904	7020	6023	3903	8736	8565	7712	11130	9831	6287	7590	8704	8318	9135	9192	7698	7973	6893	6544	10062	6956
