 Metabolite_name	RefMet_name	AF_1-1	AF_1-2	AF_1-3	AF_2-1	AF_2-2	AF_2-3	AF_3-1	AF_3-2	AF_3-3	AF_4-1	AF_4-2	AF_4-3	AF_5-1	AF_5-2	AF_5-3	AF_6-1	AF_6-2	AF_6-3	AF_7-1	AF_7-2	AF_7-3	AF_8-1	AF_8-2	AF_8-3	NoAF_1-1	NoAF_1-2	NoAF_1-3	NoAF_2-1	NoAF_2-2	NoAF_2-3	NoAF_3-1	NoAF_3-2	NoAF_3-3	NoAF_4-1	NoAF_4-2	NoAF_4-3	NoAF_5-1	NoAF_5-2	NoAF_5-3	NoAF_6-1	NoAF_6-2	NoAF_6-3	NoAF_7-1	NoAF_7-2	NoAF_7-3	NoAF_8-1	NoAF_8-2	NoAF_8-3
Factors	-	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media
1_5-Anhydro-glucitol-4TMS	1,5-Anhydrosorbitol																																																
Acetoacetic acid-2TMS(2)	Acetoacetic acid			3246	4053								2129			3005		2920	2101								2830		3576					2808			1346											3320	
Acetoacetic acid-meto-TMS	Acetoacetic acid																												4391																				
Acetoacetic acid-oxime-2TMS																																																	
Acetylglycine-2TMS	N-Acetylglycine																							1473																									
Acetylglycine-TMS	N-Acetylglycine							977								2116			861	2990																			567							1124			
Aconitic acid-3TMS	cis-Aconitic acid									1195					1909				1626		11295	1320							731	559		1383			2737	1712		1287	963				1157						1954
Adenine-2TMS	Adenine	385551	357197	436521	384479	417187	414405	336464	358096	406884	388222	960	329523	349317	422512	386167	426907	433584	418558	353145	102859	657754	731597	679053	629690	589622	650819	654245	641653	530794	570383	398	586545	538483	520364	572985	556543	531043	229	469697	520462	510164	564884	218	547488	598222	507485	877	430101
Adenosine 3^_5^-cyclic monophosphate-3TMS	3',5' cyclic AMP																																																
Adenosine-4TMS	Adenosine	47406	44128	68447	52332	60087	70766	59289	99871	66751	58371	64401	50342	48747	62305	58805	72241	68333	68460	54010	112633	72600	77366	55051	56981	58150	106224	56755	88644	60206	62449	65705	87137	56145	61611	75115	71147	57455	54888	45261	62069	65008	68979	58512	76797	63688	57499	62994	29814
Adenosine monophosphate-5TMS	AMP																																																
Adipic acid-2TMS	Adipic acid	23757	33901	27573	30687	23396	26754	26368	22546	25309	20938	28911	21740	18131	27311	18605	22851	23368	20734	22303	13706247	217658	117295	81202	61043	35534	30465	30884	27949	27097	26524	20390	27275	26842	3189471	45735	38355	33211	25898	28310	34401	30567	30573	24863	34582	28784	23592	38957	30238
Alanine-2TMS	Alanine	4586470	5127579	6671757	6076883	6315893	6412650	4736956	7157192	6633919	6309326	7377987	5198317	4975242	7254229	7099345	7151019	7505416	7556572	5694383	7808330	8261674	8153691	7723360	7413392	4137418	3040922	3474779	5507922	3852439	4363145	4652297	4533417	3857766	4228838	5807634	5579062	5362404	5049286	4452709	5329170	5574564	5910448	5959447	4852077	5325628	6654097	7697861	5058639
Allantoin-3TMS	Allantoin																																																
Allantoin-4TMS	Allantoin																																																
Allose-meto-5TMS(1)	Allose						1962		2882931						2258960			991926			3273		2320378		2730860					3214072																	2323134		
Allose-meto-5TMS(2)	Allose	1029299	484826	734856	331540	402685	317113	1548316	831174	864271	519291	468320	677884	1179530	655119	784369	301352	10513	680951	898945	684772	732422	656632	474598	759754	906670	430923	587577	1725226	924732	961683	946830	664578	470743	1832567	1519017	959983	1185629	568015	456666	1904108	1182383	1280866	571352	451385	327397	676330	531608	514069
Anthranilic acid-2TMS	2-Aminobenzoic acid																																																
Anthranilic acid-TMS	2-Aminobenzoic acid																							579																									
Arabinose-meto-4TMS	Arabinose	1779	4356	2228	5135	5676	1198	2928	2845	2119	2329	2470	5073	2639	2782	1931	2771	7940	6962	5727	19180	7636	2391	2125	10564	2854	4230	1762	4265	2408	2521	3968	1151	5614	7862	3596	2305	10545	4839	2919	5057	3456	3382	7916	1942	4422	2416	4686	2607
Arabitol-5TMS	Arabitol	11043	11551	10777	10983	13716	10271	23285	21377	20942	26468	21800	18555	21104	27031	27908	26592	24325	20348	22658	35310	22690	21596	25506	21840	23459	18686	16163	27505	19970	19059	19202	20832	27752	66632	30385	21705	23813	22218	26141	30979	27343	22359	25240	20083	25929	27497	33538	26810
Arachidonic acid-TMS	Arachidonic acid	152173	137613	189044	180594	168259	197740	153418	190284	219603	154336	184378	147033	145652	196114	168988	202780	186257	190535	165937	377091	255793	230318	205239	189263	188226	205011	170378	241504	169300	185862	190116	202678	188010	244198	224619	201695	53703	202629	159104	229075	226920	195142	190102	161222	223803	204813	239584	158994
Arginine-3TMS	Arginine	88089	59945	70809	48518	50019	42356	105926	86608	76270	60006	61993	60195	88327	70375	77368	48485	44301	71620	76862	55164	97324	72014	67294	84	128434	92092	100304	133073	84155	100297	92722	84857	73945	126087	104044	87714	99712	74121	59614	129092	92156	97549	68069	52351	48206	67872	61304	110366
Ascorbic acid-4TMS	Vitamin C																		4272							4622																							
Asparagine-3TMS	Asparagine	120901	106742	143218	124271	125700	119353	122890	168055	132660	140205	143551	92596	101615	150370	147017	138313	138294	135293	130611	70830	167711	160592	136414	131446	107320	79504	91043	135680	90843	96541	91829	89333	91648	78844	115290	115165	127977	98682	105367	125391	134641	119278	123089	93220	116769	144282	150967	92327
Asparagine-4TMS	Asparagine						113														384		1542	2341				2418										520										477	
Aspartic acid-3TMS	Aspartic acid	13519823	13507789	17157225	14407808	16089530	16092534	13656411	16917281	16800044	15235358	17328564	13327191	12508414	16305408	16958004	18215587	18397612	17903331	15989114	20216098	20272218	21865415	19436419	21677602	15331084	12336771	15416416	18637081	15014402	16820737	15342434	15879918	15292057	142242	18812019	17815301	17625997	16697522	16782300	19701848	20106387	20380091	19446892	15542709	19033339	20269041	20947070	14341781
Aspartic acid-d3-3TMS																																																	
Azelaic acid-2TMS	Azelaic acid	17843	18654	21713	28162	19372	23354	31739	27753	41571	18698	32892	22546	22358	49696	33744	38477	20355	24812	22875	103600	28611	31440	40628	20254	28082	23834	28473	24704	29140	25324	19705	26509	28631	563674	60470	42897	35372	41242	33491	33144	30502	22632	29623	24638	38406	23445	82683	36586
Batyl alcohol-2TMS		137791	146424	201445	181361	208150	187436	102273	149029	140994	175535	216932	146273	132507	190263	182313	207490	204216	189596	142505	188423	190877	220904	203307	204150	166317	205322	195820	243402	162053	215971	184327	217220	186203	177703	242440	233169	194761	207046	180833	200225	228200	228285	189016	188489	202778	188485	231639	172373
Benzoic acid-TMS	Benzoic acid	1481771	1304388	1601753	1553111	1573828	1631755	1861948	2235233	2456855	1410177	2276810	1677748	1843953	2415802	2240917	2992191	3316046	2378953	2584675	8237162	2324701	2542425	3236227	3105963	2221915	1668384	1753253	1661987	2105117	1864820	1843950	3037911	3346527	2280267	2344913	2382936	1730773	1762277	1641271	1731994	1611079	2039145	2084558	1964260	2476795	1622433	2815788	1935213
Biotin-3TMS	Biotin																																																
Cadaverine-3TMS	Cadaverine	23076	20826	23343	205942	24892	28608	31350	23555	27376	28822	6517	190074	28208	28170	247327	3088	242540	6808	24568	8456	20500	27558	240486	21169	26079	203869	28436	28184	27700	29653	28214	34649	30739	27109	175263	36079	34987	29445	29840	47496	2392	331264	2538	26962	34715	281026	4449	228756
Caproic acid-TMS	Caproic acid	1151573	860768	1042433	960915	1067248	1095729	1392108	1529130	1866711	955511	1341657	1092872	1178113	1713532	1490469	1641764	1332568	1537267	1616144	3211676	1310841	1747521	1934456	1476784	928394	727305	1082376	1168790	1159406	1072121	1096074	1235567	1588776	1292980	1893155	1247486	1008350	1669141	1492971	1024669	1126066	1252065	1277275	1548259	2020350	1193998	2332610	1377737
Carnosine-4TMS	Carnosine																																																
Catechol-2TMS	Pyrocatechol																																																
Cholecalciferol-TMS	Vitamin D3																																																
Cholesterol-TMS	Cholesterol																																																
Citramalic acid-3TMS	Citramalic acid	7384	7554	25771	25112	21389	20314	17013	11101	15359	55346	14084	9193	9093	12511	8091	9729	11541	8448	9492	65371	10991	9584	10053	9782	8306	9679	9801	7385	9608	6324	5845	8617	8357	98166	23221	14161	9504	9115	9825	8671	7088	9809	8279	5874	6897	8338	15526	9782
Citric acid-4TMS	Citric acid	157647	127706	181109	115489	137518	122796	195306	213086	165119	153702	192322	159380	201720	189974	205027	134292	165501	182441	178437	220811	175975	135856	144112	161732	223032	208513	235060	271379	182876	229644	176791	205018	170577	234172	223298	197263	171249	176463	148836	195492	209783	207760	128828	129425	151906	126113	155543	1482230
Citric acid-d4-4TMS		1884							1790				1063		1892						2660	2631				2297	2669	2285	3538	1687	2067		2506	1673	2270	1129	1366			2491	1935		2974			1809		1514	23141
Citrulline-3TMS	Citrulline																																																
Coniferyl alcohol-2TMS	Coniferyl alcohol																																																
Coniferyl aldehyde-meto-TMS(1)	Coniferyl aldehyde																																																
Coniferyl aldehyde-meto-TMS(2)	Coniferyl aldehyde																																																
Creatinine-3TMS	Creatinine	44800	42474	44966	40876	47082	40291	39175	46378	39297	54472	55877	46769	55450	55530	61057	68402	59216	71404	54856	19292	55680	61283	65938	59956	50387	32827	31086	53330	36821	39417	49371	38127	27364	43459	43316	51355	82532	76232	72101	75309	74899	85183	65665	63648	62388	69364	51737	41466
Cystamine-d8-nTMS		1950	1951			4061	1036		3150	2862		2763		610	1163	2088	3899	2876	3272	1822		1981	1272		1947		2772		2775	2109	1323	1316	3089	4204		4237	1291	1546	1856		3408		2349	4009	4405	2152		2885	1140
Cystamine-nTMS	Cystamine	74100	64446	95882	82430	87715	76975	66975	87088	71707	79217	101559	62159	56845	21709	69913	83517	88270	89712	72352	80621	27166	82813	82751	87448	98054	79964	26874	119726	67184	18559	19522	9969	70646	82363	98754	93863	87115	84183	11557	12556	90589	94132	77712	74727	74700	94985	96595	6565
Cystathionine-4TMS	Cystathionine	18590	16111	17745	18919	20513	19260	16670	20778	18299	18639	20789	14014	16132	19494	20539	23113	19560	21650	18056	13023	20318	20830	21473	19816	25493	18116	20728	28931	20634	22824	23548	21360	20055	22011	25683	24230	26089	22307	19877	22805	26526	24332	19041	20073	19186	21336	23178	18957
Cysteic acid-3TMS	Cysteic acid																																																
Cysteine-3TMS	Cysteine	1046669	1221264	944400	1301681	1494260	1411143	1159265	1503564	1305015	988728	1435187	1169518	1133591	1461028	1490496	1309263	1439030	1510400	1144274	786195	1069337	1584158	1437195	1503590	1801435	1460708	1462924	1659406	1465501	1675376	1667721	1771402	1545858	1082329	1469970	1556346	1284797	1538058	1066529	876064	1616211	1603806	758212	1386749	793428	1468671	1036661	1132960
Cystine-4TMS	Cystine			8478																															23762						12843			6288		6317		5414	
Cytidine-4TMS	Cytidine																				2852															4964													
Cytosine-2TMS	Cytosine	254865	193388	213000	193177	195460	180963	176110	189611	193644	190046	213376	165448	164461	202244	181160	174556	187967	172048	186486	116746	237927	288725	315193	278238	299797	553398	400425	363314	281457	286563	286381	284859	292263	280310	294832	265698	251781	232495	234315	244548	245430	277142	246078	394289	308984	195	263075	276643
Decanoic acid-TMS	Capric acid	280666	222520	300760	274165	251475	252674	199054	172012	252877	154140	264690	179965	155703	206495	199698	204369	234507	157839	203212	1400963	228063	192857	265692	235098	226457	199749	220564	206757	296431	234099	183791	277488	250464	308502	327121	261023	315092	292473	221964	239892	280762	273328	258610	185919	304244	186886	396877	287942
Dihydroorotic acid-3TMS	Dihydroorotic acid									1225																																							
Dihydrouracil-2TMS	Dihydrouracil						2752						1227									2767					1418								962							675	3001						
Dihydrouracil-TMS	Dihydrouracil				4411																																												
Dihydroxyacetone-13C3-meto-2TMS	Dihydroxyacetone																																						906										
Dihydroxyacetone-2TMS	Dihydroxyacetone																																																
Dihydroxyacetone-meto-2TMS	Dihydroxyacetone	3946	4302	4574	5094	5672	5944	5220	6348	4474	5315	5518	4366	3954	4982	5297	4714	6709	5807	6280	5298	6554	6292	7042	6266	5699	3947	4434	5792			4873	5290	4852	4016		5767	7360	4945	3975	4581	5065	5722	5077	4044	4380	5385	5318	
Dihydroxyacetone phosphate-meto-3TMS(1)	Dihydroxyacetone phosphate	29937	23658	29929	34104	35903	31081	22219	25374	23362	28328	33919	25859	23566	27251	27345	21299	31958	27974	20248	19140	26645	24768	24524	25186	71274	77447	73606	58477	62973	62931	63985	69977	67142	33813	53753	50806	50295	42765	41710	41419	36239	43289	40610	32755	37074	30896	38405	19643
Dihydroxyacetone phosphate-meto-3TMS(2)	Dihydroxyacetone phosphate	1302878	1242690	1745271	1442573	1638184	1627981	1080473	1401999	1503932	1472341	1720553	1256589	1254558	1599346	1643285	1671378	1634259	1680504	1347891	679839	1454075	1472087	1431155	1553368	2080760	1540156	1704965	2217659	1428419	1705794	1863264	1769043	1497304	1460224	1851271	1841570	1916049	1756300	1552018	1811344	1781725	1989593	1853487	1425910	1720191	1816057	1925311	1418091
Dimethylglycine-TMS	Dimethylglycine																																																
Docosahexaenoic acid-TMS	Docosahexaenoic acid	1459				2125	12039		1769	4104	3480	3669	1151	7046	2651	6219		8622	4705	4396	6538	2789	7202		5942	407		2159	3601	7128	2283		4892	10675	3230	3315	4968	8991	1583	10498	4539		2825	6595	9449	6356	6510	2673	3785
Docosapentaenoic acid-TMS	Docosapentaenoic acid					423	1449			1770		1511		1476	1374	2301		1477		1043	3645	2374	2840	3832	1303		3199		3553		1923	1874	1191	2015	3437	2637	3147	1686		2292	2076	6140	1658	1674	2819		2302	1361	2381
Dodecanedioic acid-2TMS	Dodecanedioic acid																																																
Dopa-13C6-4TMS	DOPA																																																
Dopa-4TMS	DOPA	1748		795						1909	1370															1208			3259		3182									2072			2473		1174				
Dopamine-3TMS	Dopamine	63040	12774	64440	88246	18670	12486	11518	9963	12010	58223	69173	44378	9646	14045	67301	66039	17686	30601	64033	57152	73037	14462	79582	14299	9204	23843	58751	1739	55205			50818	511	62155	75613	61998	72725	14528	29170	458	65915	20045	62405	52616	56774	13677	562	11679
Dopamine-4TMS	Dopamine	6798	6002	9820	73653	7256	77755	13553	16125	85420	73227	6353	58647	69877	17300	7942	4071	3966	4525	79939	3245	87518	81973	4081	1888	14616	12188	72773	87594	11559	16094	13041	11579	12434	15718	17983	11217	6174	88657	54590	5752	11621	7436	10549	85096	2935	7820	4830	2481
Eicosapentaenoic acid-TMS	Eicosapentaenoic acid	14114	17312	215486	26094	49219	217296	190256	181678	217001	172373	20515	16891	155212	201903	60946	222785	190008	185822	197323	402941	69839	231675	229211	203513	213977	23072	196770	248938	203921	68946	59837	63266	67815	77550	18091	233774	10088	193868	168550	224704	206041	213325	199584	165684	238358	25496	254955	170301
Elaidic acid-TMS	Elaidic acid	242932	210637	296066	250263	265161	290291	262801	277504	322524	261513	310525	263566	249215	348472	275687	290121	255788	291903	270271	476908	400850	428628	415445	330659	316920	288012	324183	335233	304364	341944	295123	330667	367242	357372	393870	384750	316562	356637	268909	298181	277463	292550	282775	266250	358015	256193	401995	272079
Epinephrine-3TMS	Epinephrine																							905																									
Epinephrine-4TMS	Epinephrine	1238		1961		16330																2280	4914													4333		2197		3200									
Erythrose 4-phosphate-meto-4TMS(1)	Erythrose 4-phosphate	2613	3990	2455	724	549	1673			2521	487			3311				3758		536					2354	626	1821	1940	3534		3769		829	574	1445	1858		3883			1627	5435	823	1182		2015		2285	
Erythrose 4-phosphate-meto-4TMS(2)	Erythrose 4-phosphate	1899	3048	5315	3048	442	1038		1660	1842	1672		1275		2830	495			2258	1457		1815	2333	1931	1381	5672	639	1573	2666	3064			4203	1244	521	1806		708	3015		1986			1593	1092	708	3309	435	2553
Erythrulose-meto-3TMS(1)	Erythrulose							1055							1024	384				65												671																	
Erythrulose-meto-3TMS(2)	Erythrulose																																																
Ethylmalonic acid-2TMS	Ethylmalonic acid																																																
Fendiline	Fendiline																																																
Fendiline-TMS	Fendiline																																																
Fructose 1-phosphate-meto-6TMS(1)	Fructose 1-phosphate	3478	6392	7046			7208	4112	6000		5079	5782			4784		4288	6446					4523			9369	6612	6874	7463	5804	8170	6887	8220	6590	5249	7879	7108	6431		6082	7133	8911		6683	3633	7492	6453	6643	
Fructose 1-phosphate-meto-6TMS(2)	Fructose 1-phosphate	9370	4462	5726	4169	57692	11311	3850	6638	25647	6521	48434	17552	18705	5202	34984	3962	46347	6016	3518	3584	3626	63353	50613	48857	10010	6086	7669	15494	5986	7719	13350	7696	6632	6121	8492	7259		8289	6315	7660	7264	8493	6291	3328	7028	40875	9385	5403
Fructose 6-phosphate-meto-6TMS	Fructose 6-phosphate		3215				3728																						4207	2801													5277						4061
Fructose-meto-5TMS(1)	Fructose	22556	21722	32275	15111	21501	55952	39566	37966	65968	27319	27349	16397	44789	47476	58174	25938	23359	22149	18799	39418	26432	27177	23842	26966	18326	8866	16867	46479	22850	35903	15922	14001	15013	68067	31161	29715	23004	23426	15563	28891	31460	52294	21665	15179	17157	18540	87228	28860
Fructose-meto-5TMS(2)	Fructose	142800	64586	93093	46322	58471	47300	21678	110810	112813	68287	62041	93871	152756	86124	102340	41799	34380	86171	121698	91898	100945	88347	62299	97840	11305	55905	74278	232361	118657	127404	130976	87605	61007	238912	212122	129338	158839	75620	60147	248518	156528	180438	75424	58419	43908	86432	66589	67120
Fucose-meto-4TMS(1)	Fucose	16241	14992	16877	16761	20672	18297	17702	20560	18823	18222	21687	16762	16210	17824	18416	20003	23837	17733	13663	21005	24193	22324	22180	20854	15219	13080	17726	22582	15635	20766	15712	21787	18991	19304	22355	21447	18556	18589	19921	22662	22968	23584	16165	17688	20218	20142	21989	18928
Fucose-meto-4TMS(2)	Fucose	7008		704	1414	7711	832			5103		2059						5781	3985	4672		3478	3229	2340	5801	4892	1729	8461	5074		3441						7319		2517			5327	762	1744	1514	5467	3721	9645	4086
Fumaric acid-13C4-2TMS	Fumaric acid																																																
Fumaric acid-2TMS	Fumaric acid	41073	72225	60439	51577	57230	54632	40518	42377	42977	48059	55729	36778	37532	50135	45151	55923	53635	48284	58473	84121	51925	50882	53499	51445	62282	56349	53854	80463	53452	62962	62631	65938	63020	131297	81044	74250	69663	68080	62051	52897	63582	70517	53122	49514	59311	51517	70240	51848
Galactitol-6TMS	Galactitol																									372			1040																				
Galactosamine-5TMS(1)	Galactosamine	1037												1811					1293		1116		1636					825					1967				942					2437				1418			
Galactosamine-5TMS(2)	Galactosamine													2891									1595	1717			24998				433		878			3145	1736					31144		28177					2204
Galactose-meto-5TMS(1)	Galactose	5319534	2559126	3416720	1660807	2088731	1690870	8222959	4294400	4539874	2632794	2392203	3545945	6179635	3374476	4044432	1521833	1460510	3516014	4642709	3590377	3891670	3467205	2428388	4023765	4583786	2195112	2948917	9016139	4758974	4990918	4938924	3484464	2416539	9532198	7995893	5026017	6098847	2952692	2263444	9870142	6131435	6684465	2959479	2310069	1711115	3430626	2754889	2642302
Galactose-meto-5TMS(2)	Galactose	1046713	513655	747944	342625	409478	341664	1633698	848777	879810	526093	474257	695426	1224467	668416	803434	306044	288580	697674	914839	716235	769909	679932	485724	784804	929929	445353	597312	1792072	927146	970091	970792	688845	481166	1874592	1567816	982420	1201886	585831	469528	1961328	1224233	1314552	594830	455209	347563	678247	548655	523784
Galacturonic acid-meto-5TMS(1)	Galacturonic acid	28354	27551	41083	28525	34767	39242	34255	39009	45320	31268	35120	30326	28438	35257	34940	35546	37007	37052	33740	45542	46518	38949	37215	36954	34034	27897	37560	45386	33390	34461	39373	38569	37811	1421	45239	40777	46181	41747	34372	43871	45414	41177	40542	33079	39829	41827	48850	37485
Galacturonic acid-meto-5TMS(2)	Galacturonic acid	8676	11419	13455	12196	14371	18826	9557	12148	13306	12344	11764	8796	9196	12063	12461	12591	12237	11462	9137	20074	11858	11808	11113	12002	13390	12990	16684	18077	15173	13391	16263	18177	16976	21105	16595	15900	18943	15330	16141	16169	16343	14374	13991	11265	12542	12857	16655	11606
Glucaric acid-6TMS	Glucaric acid	18347	17171	21725	16555	19543	19720	15687	17734	17810	19058	19910	14723	17225	19659	20392	21454	21404	18739	18317	26169	24953	21971	23328	22019	21001	17364	18745	27677	17005	21050	21617	21050	18149	23209	23644	23914	27479	23605	17381	23408	23960	24885	22735	18180	21722	21269	27440	20806
Gluconic acid-6TMS	Gluconic acid	8157	8919	11132	11078	11707	13232	7699	9510	7819	11156	10871	7440	7920	9132	8467	10205	9827	8207	5726	8281	7630	8523	9773	6686	12968	11286	13815	16425		12368	13883	15040	12872	14049	13878	14972	14041	14347	13152	13900	13953	12049	13069	10265	12936	8017	15269	10033
Glucono-1_4-lactone-4TMS																																																	
Glucono-1_5-lactone-4TMS	Gluconolactone			2125				2719					2604		1964	2851	1915			2635	5324	2018		2113	2320		1098				2333	2108	1819		6980	2523					2549		2509			1872			1826
Glucosamine-5TMS(1)	Glucosamine	5187	1480	5653	2840	3996	4004	19347	16026	9996	5509	1125	8813		6781	1766	1854		8270	8064	11807	1792	2879	5056	9976	10663	4909	618		10017	6187	10538	8370	3331			344	13467		3952	466	13362	15863	6409	4180		3425	6918	
Glucosamine-5TMS(2)	Glucosamine					2224	1177	1071	2092	745	2978	908			3765	1942		455	4823					5033	1613		960		5647							3458	7929	3532		1266	6027	3382			5581		1981	4056	
Glucose 6-phosphate-meto-6TMS(1)	Glucose 6-phosphate	24494	28297	39441	41777	55914	41145	17553	26205	32406	41300	49318	23818	21574	41208	34977	52307	48386	38235	24697	38040	43490	65151	52989	46772	19999	16990	19706	33401	22694	33449	35974	37428	35812	15180	36502	34256	39398	37626	28807	27624	34474	39527	44476	38542	40498	39729	51214	30718
Glucose 6-phosphate-meto-6TMS(2)	Glucose 6-phosphate					2772				761		875			2214	14387	1653						2138															1932						2914	2354	1230		2135	
Glucose-meto-5TMS(1)	Glucose	5687101	2731007	3633007	1798958	2238189	1774306	8729832	4607200	4838031	2837257	2535002	3772583	6598448	3558501	4325769	1632911	1561271	3755167	4983501	3785459	4102575	3678283	2540267	4281786	4896331	2312836	3142457	9551415	5080444	5270715	5189726	3669972	2575006	10111336	8391920	5322487	6458990	3112053	2446022	10433203	6526058	7061125	3118199	2427626	1811016	3665552	2903104	2819943
Glucose-meto-5TMS(2)	Glucose	1026291	484826	734841	329462	402685	317113	1545668	831475	864271	519291	468275	677886	1179590	655031	784433	301267	291652	680889	898945	684821	732200	657432	474968	759754	906670	430923	588371	1723514	924732	961683	946830	664578	470939	1832406	1516778	959983	1185453	568015	456674	1899771	1182659	1279038	571402	451574	327397	676237	531547	512151
Glucuronic acid-meto-5TMS(1)	Glucuronic acid	25859	26290	38531	27861	34646	33424	32636	40055	39597	31925	36914	24905	26846	37713	38214	31214	35253	37966	30776	44571	42377	34849	40274	36356	35935	26768	34100	48507	30864	36695	39918	36902	34341	38593	42418	40411	41870	39639	31434	42550	41253	42807	39032	29855	38642	39570	44200	32755
Glucuronic acid-meto-5TMS(2)	Glucuronic acid	12166	12739	17810	14578	16650	16872	20859	22523	22329	17161	17811	13228	12433	18082	19498	16125	17963	20346	15757	21932	22569	19944	19125	18220	17966	12397	15149	20643	14366	15441	19525	19240	18350	17768	19567	17398	21153	17855	16923	21893	19914	13467	20065	15138	18386	18562	22018	13181
Glutaconic acid-2TMS	Glutaconic acid																																																
Glutamic acid-13C5-3TMS	Glutamic acid	8194			7787	10753	12528	8675	10175	8376	9715	10371	9781	9103	11321	11285	11086	9395	10669	7457	7324		10432				10078	12954				12158	13280		9388		14570	13419		10966	13537		15347		10184	11907	9405	11697	6855
Glutamic acid-3TMS	Glutamic acid	9376387	2570	10970668	9688998	10732710	10511698	8179809	10446338	478	10332426	11514324	8719036	315	9890638	10309152	10585484	10509843	10434473	8435114	8583335	10359484	10186970	9804587	10148891	12891038	10253879	11934936	16270783	461	13457218	428	12427760	11171136	11444350	14782375	792	13475774	13221418	11702137	13147023	1068	14289901	12180825	10001667	12079413	10712498	12359598	8713983
Glutamic acid 5-methylester-2TMS			10704		19485	20167	16137					39789	24265	14399	23027	18241	13620	19401	21318	11776	34120		13372	31893										12282		20332	14529	19607			16088	17768	8937					12255	
Glutamine-3TMS	Glutamine	124055	112294	190137	45237	46863	44060	253293	225950	495412	60107	57715	64281	282682	323334	447697	62534	54545	53537	62445	43529	98135	67975	54817	56732	102495	56643	60138	172974	149614	252110	69852	51780	51673	78644	118017	146471	77028	51986	58710	151101	174461	377601	88550	48410	56603	63235	69687	139166
Glutamine-4TMS	Glutamine	20535	656	1475			10379	26502	30992	54512	13811	13815	15083	40016	45654	57909	15036	7759		14968	2943	22526	14386	14007		661	1888		19691	2847	1916	13989	1169			836	24064	20536	1727	1899	26413	27801	773	18786	13164	530	15255	11710	1317
Glutaric acid-2TMS	Glutaric acid	8602	10055	16464	15702	13491	14145	16592	12446	12946	10696	18936	12460	10658	16406	9970	11689	13229	12713	11902	127723	15417	14125	15843	14461	14219	11659	11627	11538	12754	11971	11322	13825	12412	90409	16987	14450	11816	12815	12094	14088	13929	12265	13075	9697	11076	11497	16826	12972
Glyceraldehyde 3-phosphate-meto-3TMS(1)	Glyceraldehyde 3-phosphate																																																
Glyceraldehyde 3-phosphate-meto-3TMS(2)	Glyceraldehyde 3-phosphate																									2677		2122				1681		2018			771												
Glyceraldehyde-meto-2TMS(1)	Glyceraldehyde		357	516		2318	2774	3496			1258	4673		3252		2330	2224	4008		1259	2480	1728	3186	1871	2016	2053	583			2876	2163	980				2010	2230	2630		1662	982		2660				1011		
Glyceraldehyde-meto-2TMS(2)	Glyceraldehyde		3992	10613	4007	5460	14527		3830	3846				11568		15318	5547	13565	12067			5404			6237	2327	11618	13557		3693		15816		12216	9782	12940	4559	4100	13669		3950	13248	3381		5198	5335	11053		6395
